Protein Complex,COGIDs,,,,,,,,,,,,,,,,,,,,,,,,,,,ECOLI Conservation Percent,ECOLI Protein IDs,MYCTU Conservation Percent,MYCTU Protein IDs,MYCLE Conservation Percent,MYCLE Protein IDs,BUCAI_APS Conservation Percent,BUCAI_APS Protein IDs,BUCAI_Cc Conservation Percent,BUCAI_Cc Protein IDs
hisF,COG0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hflC,COG0330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hisD,COG0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hisQ,COG4215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holC,COG2927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fre,COG2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hflD,COG2915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemC,COG0181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hisJ,COG0834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hofC,COG1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rna,COG1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hpf,COG1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
holB,COG0470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdhF,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecC,COG0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fepA,COG4771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fklB,COG0545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliQ,COG1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flhB,COG1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG3101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fadL,COG2067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdnG,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flgI,COG1706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliF,COG1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliM,COG1868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliP,COG1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliL,COG1580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exbB,COG0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guaA,COG0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guaA,COG0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecD,COG0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fmt,COG0223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fepD,COG0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fepE,COG3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fepG,COG4779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fhuA,COG1629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focA,COG2116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdnH,COG0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdoH,COG0437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yggX,COG2924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hemB,COG0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG1705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG3951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliN,COG1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etk,COG0489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etk,COG3206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdhE,COG3058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdnI,COG2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecA,COG4772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecB,COG4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fdoI,COG2864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fepB,COG4592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fetB,COG0390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG1526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fhuB,COG0609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG2184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fieF,COG0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fimD,COG3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flhA,COG1298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
etp,COG0394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspG,COG2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspI,COG2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspK,COG3156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspL,COG3297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gstA,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gstB,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flgH,COG2063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliG,COG1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fliR,COG1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
folC,COG0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tam,COG0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eptA,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eptB,COG2194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can,COG0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabA,COG0764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gsiC,COG0601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspC,COG3031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspF,COG1459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabR,COG1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fbp,COG3842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feoB,COG0370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eutB,COG4303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspD,COG1450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfdH,COG0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fucI,COG2407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dedD,COG3147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asd,COG0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
exuR,COG2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG2186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fabD,COG0331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entB,COG1535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entB,COG3433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eutE,COG1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lon,COG2055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspJ,COG4795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
envC,COG4942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eutD,COG0280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xseB,COG1722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xseA,COG1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gspH,COG2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG2814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffh,COG0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eco,COG0541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbp,COG1613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sucC,COG0045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tonB,COG0810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiV,COG0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
surA,COG0760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sucD,COG0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG0520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufS,COG0520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspS,COG0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alaS,COG0013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srlD,COG1028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
srmB,COG0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sspA,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sspB,COG2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG2969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tnaB,COG0814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sstT,COG3633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tktB,COG0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soxR,COG0789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssuB,COG1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssuC,COG0600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolA,COG3064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolC,COG1538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolQ,COG0811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torC,COG3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torT,COG1879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torZ,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cysS,COG0215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smpB,COG0691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stpA,COG2916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufA,COG0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufB,COG0719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sufC,COG0396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torA,COG0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suhB,COG0483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
torY,COG3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glyQ,COG0752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ileS,COG0060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speA,COG1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tnaA,COG3033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ssuE,COG0431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tolB,COG0823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ytjB,COG3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydbK,COG0674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydbK,COG1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydbK,COG1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nikC,COG1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pppA,COG1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppx,COG0248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pqiA,COG2995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pqiB,COG3008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG0793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prc,COG0793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preA,COG0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preA,COG1146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuoL,COG1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG3254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhaT,COG0697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhlB,COG0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhlE,COG0513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhsC,COG3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhsD,COG3209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhtA,COG5006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhtB,COG1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhtC,COG1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flu,COG1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ribA,COG0807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybiA,COG3236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plsB,COG2937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prfA,COG0216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prfB,COG1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prfC,COG4108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tig,COG2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfbX,COG2244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plsX,COG0416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppiD,COG0760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ppiB,COG0652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rimM,COG0806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rimO,COG0621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rimP,COG0779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prmA,COG2264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tar,COG0695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrfA,COG3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nrfF,COG3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pntA,COG3288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pntB,COG1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfiH,COG1496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuoJ,COG0839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nusB,COG0781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nupX,COG1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paoC,COG1529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fur,COG2080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcnB,COG0617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
otsA,COG0380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panF,COG4145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parC,COG0188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phnL,COG4778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phr,COG0415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfe,COG2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pheP,COG1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG1735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glgP,COG0058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relA,COG0317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plsC,COG0204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
udp,COG2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaaJ,COG1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yabI,COG0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rfe,COG3041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahJ,COG0402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahN,COG1280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uspA,COG0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uvrD,COG0210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydcT,COG3842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydcZ,COG3238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydgC,COG3136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhK,COG1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhS,COG4529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydhU,COG4117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
era,COG4670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiF,COG4670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiJ,COG0247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiJ,COG0277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ydiK,COG0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaH,COG2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeaV,COG1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yeiH,COG2855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yejM,COG3083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfaP,COG4676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yfaQ,COG5445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tyrR,COG3283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ubiC,COG3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ulaA,COG3037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fic,COG3414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yaeQ,COG4681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yafY,COG2378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yagG,COG2211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahF,COG0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaA,COG5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaL,COG1226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaL,COG4651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ybaP,COG3735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciO,COG0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yciU,COG3099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ushA,COG0737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
